"Name","Category","Author","Description","Rating","Num of Reviews","ASIN","Application ID","Release Date","Invocation Name","Example Interaction 1","Example Interaction 2","Example Interaction 3","Privacy Policy","Terms of Use","In-App Purchasing"
"Chicken Geek","Education","Bryan","Have chickens in your yard or on your dinner plate? If you've ever wanted to know more about these amazing animals, Chicken Geek is for you! It'll make you a bird brain in no time!",3,1,"B01EEKKAWO","amzn1.echo-sdk-ams.app.cd514819-e235-40de-bd04-a28f45d6fcb4","2016-04-22 10:08:28","chicken geek","Alexa, Open Chicken Geek","Alexa, Launch Chicken Geek and tell me a fact","Alexa, Start Chicken Geek and give me a fact","","","No"
"Children's Bible Quiz","Education","M Squared ","Children's Bible Quiz where children can test their Bible knowledge. Five questions are asked with four possible answers each. How well will you do?",2.7,3,"B01C7XIJ82","amzn1.echo-sdk-ams.app.c4e73397-2f52-44e6-b986-48a503df140b","2016-02-25 18:12:35","children's bible quiz","Alexa open Children's Bible Quiz","Repeat","Help","","","No"
"Chili Pepper Nut","Food/Cooking","mine","Chili Pepper Nut is an Alexa skill used for fun trivia facts about chili peppers.\nTo start the skill, say any number of directions,\n""Alexa, ask Chili Pepper Nut a pepper fact""\n""Alexa, ask Chili Pepper Nut give me a pepper fact""\n""Alexa, ask Chili Pepper Nut tell me something""\n\nAlexa will respond with ""Here's your pepper fact: "", and then give you a pepper fact about any number of peppers, pepper history, or information about the Scoville Scale.",0,0,"B01DMFK7H0","amzn1.echo-sdk-ams.app.94a84b02-8501-4736-ad6a-6cdbe739e76a","2016-03-31 19:32:22","chili pepper nut","Alexa, ask chili pepper nut a pepper fact","Alexa, ask chili pepper nut give me a pepper fact","Alexa, ask chili pepper nut tell me something","","","No"
"Chimani","Travel","Chimani, LLC","This skill lets you ask Alexa what ranger events are happening in any of the national parks covered by Chimani on a given date in the future.",0,0,"B01DKZSOKO","amzn1.echo-sdk-ams.app.edee5350-12dd-416a-a5ef-0dbea6f55648","2016-04-05 08:02:25","chimani","Alexa, ask Chimani what are the ranger events today.","what are the events in Acadia on April 16th.","what are the ranger events in Acadia on April 16th.","https://www.chimani.com/privacy.html","","No"
"Chocolate Trivia","Games","Supernova","Are you the biggest fan of chocolate? Well, now you can play this fun trivia and find out how much you know about chocolate! \n\nThis trivia is designed for single player, share this with your friend and see who knows more about chocolate!",0,0,"B01EIWXRXM","amzn1.echo-sdk-ams.app.74354e38-0298-4634-8d58-f01d92b033f2","2016-04-28 18:38:37","chocolate trivia","Alexa, launch chocolate trivia","Repeat","Help","","","No"
"Christmas Caroler","Music","Brian Ross","Simply launch the skill and Alexa will choose a random Christmas carol to recite while displaying all of the lyrics to the Echo companion app so that everyone can join in on the festivities. Perfect for learning the lyrics to your favorite Christmas songs.",1,3,"B019YJIY4G","amzn1.echo-sdk-ams.app.cd9f8c03-5438-41b3-9e48-1333dba9702d","2015-12-29 14:38:15","christmas caroler","Alexa, tell Christmas Caroler to spread holiday cheer.","Alexa, ask Christmas Caroler to begin the festivities.","Alexa, open Christmas Caroler and teach me a carol.","","","No"
"Christopher's Airplane Trivia","Reference","Steve Wagner","Christopher has been interested in aviation from an early age and has amassed an incredible amount of knowledge and now wishes to share that knowledge with you!\n\nWhen you have Alexa ask Christopher for an airplane fact Alexa will randomly choose a factoid for you.",0,0,"B01CE4JDSE","amzn1.echo-sdk-ams.app.bcea004c-8715-48f6-a531-80cfa38dec7c","2016-03-01 01:34:24","christopher","Alexa, ask Christopher for an airplane fact","","","","","No"
"CHS Quiz Bowl Challenge","Games","StrwbryJams","Quiz Bowl is a trivia game that tests the player's knowledge of varied subjects from science to literature to sports.  Each question is asked in a simple multiple-choice format to be answered by the player.  Five questions are asked at a time for quick fun.  Be sure to discover all the questions!",0,0,"B01EO3189K","amzn1.echo-sdk-ams.app.82cc95b3-3224-44a9-9f66-72e358894ab7","2016-04-25 09:08:44","quiz bowl","'Alexa play Quiz Bowl'","""Alexa open Quiz Bowl""","""The answer is one""","","","No"
"Churchill Quotations","Entertainment","Barry Johson","Winston Churchill can provide a randomly-chosen quotation or  quotations which are specifically witty, wise or inspirational. You can also request a quotation on specific topics, such as communication, war, or Britain, for example.",0,0,"B01EM7BIWU","amzn1.echo-sdk-ams.app.ec109eb4-85b7-477f-aae7-fd59a5656003","2016-04-28 01:08:37","churchill quotes","Alexa ask Churchill Quotes for his thoughts","Alexa ask Churchill Quotes about war","Alexa ask Churchill Quotes to offer some wisdom","","","No"
"Circulator","Travel","Quinnternet","Live in Baltimore? Running late and need to know when the next Circulator bus will arrive at your stop of choice? Just have Alexa ask Circulator when the next bus is arriving using the line and station names. For instance, you might ask when the next bus is arriving on the Purple line at Fort Avenue.",1,1,"B01EBEMOYK","amzn1.echo-sdk-ams.app.83157cac-f56b-4c2e-ad16-cceb492454df","2016-04-21 08:38:32","circulator","Alexa ask Circulator when the next bus is arriving on the Purple line at Fort Avenue.","Get the next bus's arrival time for Inner Harbor on the Orange line.","Get the next bus for Lee Street.","","","No"
"City Trivia","Games","Neil McManus","Answer trivia questions about U.S. cities. The multiple choice questions in this game are full of fun facts about cities like New York, San Francisco, Philadelphia and more. There are a lot of questions to try and each game is different.",0,0,"B01EKQ2G7O","amzn1.echo-sdk-ams.app.4e38843b-3996-47ab-9244-2a669e192d7d","2016-04-21 19:08:37","city trivia","Alexa, play City Trivia","The answer is three","I don't know","","","No"
"CivicMinding","News","Healey Engineering","CivicMinding helps you get informed on, vote on, and discuss everything political: bills making their way through congress; people running for, or serving an elected office; important issues of the day; and more! All contributions are private and secure, and could help influence decision-making and public opinion.",0,0,"B01E6HYGHK","amzn1.echo-sdk-ams.app.674a6a9b-a06a-40d0-8dbf-d14fbf281958","2016-04-18 05:03:14","civic minding","Alexa, ask CivicMinding for the Democrat delegate count?","Alexa, ask CivicMinding who is leading in the race for President?","Alexa, ask CivicMinding what bills were introduced this week?","https://www.civicminding.com/privacy/","https://www.civicminding.com/terms/","No"
"Code Finder","Reference","Ryan Mulligan","Wondering where the phone number that just called you was located in the US? Looking for the city name for a US zip code? Need to know the area code in the city where you'll soon be traveling?\n\nCode finder is here to help!\n\nSearch by area code, zip code, or city and state to hear more information about that location.",5,1,"B01DQFWAEE","amzn1.echo-sdk-ams.app.978ba9f2-2afe-40a0-8e61-ae03be65cad1","2016-04-11 13:02:29","code finder","Alexa, ask code finder where area code 253 is.","Alexa, ask code finder what the area code is for Ventura, California.","Alexa, ask code finder where zip code 13212 is.","","","No"
"Code Phrase Generator","Entertainment","Asim Ihsan","Generate a code phrase for your next top secret project! Previously the domain of the NSA and the CIA, now you too can give obscure and whimsical phrases to your:\n\n- latest top secret project critical to national security,\n- an obscure software component you need a funny but clever name for,\n- naming your next newborn (j/k, please don't do this).\n\nFor now you simply have to say ""Alexa, ask for a code phrase"" and a random two-word code phrase will be yours! The phrase will either be a ""<noun> <noun>"" or ""<adjective> <noun>"", where each word is not too short and not too long and doesn't have too many syllables.\n\nI'm open to feature requests! If you think alternative patterns like ""<color> <animal>"" or ""<temperature> <material>"" sounds awesome, let me know!",4,6,"B01C6A6S20","amzn1.echo-sdk-ams.app.c00ae347-78bf-4165-a1b1-6f302b5c6180","2016-02-24 14:49:17","for a code phrase","Alexa, ask for a code phrase.","","","","","No"
"Coin Flip","Games","Pomp Productions LLC","Coin Flip is your voice activated virtual decision maker! Call ""heads"" or ""tails"" then ask Coin Flip to flip it and our proprietary algorithm voices the outcome.\n\nNo account necessary. Works on all Alexa-enabled devices.",1,1,"B01E7SRZUS","amzn1.echo-sdk-ams.app.8e9dae6e-4902-4503-ac32-2c148cce631d","2016-04-25 05:39:13","coin flip","Alexa, ask Coin Flip to flip it","Alexa, ask Coin Flip to flip the coin","Alexa, ask Coin Flip for heads or tails","","","No"
"College Basketball Tournament Trivia","Sports","GYoungApps","Test your knowledge of the men's college basketball tournament!  Think you are smart about college basketball?  Try this trivia skill to see if you'd end up with a #1 seed or if your shot falls short.  Alexa will ask you questions, provide some answers and you show off your knowledge by selecting the correct one.",0,0,"B01CYEOI0C","amzn1.echo-sdk-ams.app.a2fd6694-5fb0-4258-8a22-c27333614aad","2016-03-14 06:55:15","college hoops","Alexa, launch College Hoops","Repeat","Help","","","No"
"College Basketball Trivia","Sports","Babooze labs","Test your College Basketball knowledge with a series of trivia questions surrounding the history of the College Basketball.\n\nAsk Alexa to ""Open College Basketball Trivia"" and see how well you know College Basketball.",4.8,3,"B01DKME59G","amzn1.echo-sdk-ams.app.3e8f707d-0e51-4acc-b4cf-4d5e99c1462c","2016-03-29 06:42:46","college basketball trivia","Alexa, Open College Basketball Trivia","","","","","No"
"ColorHex","Productivity","Noah","ColorHex is allows you to convert between color names and their corresponding hex values. ColorHex is indispensable for graphic design, web design and any other task that uses hexadecimal color values. ColorHex can convert in each direction, giving you names for hex values and hex values for color names.",0,0,"B01ENNBNCI","amzn1.echo-sdk-ams.app.8de11fe7-d47f-4d40-af4d-8a5864ac3ca3","2016-04-28 09:38:42","color hex","alexa ask colorhex to convert red","convert f f zero zero zero zero","convert d c d c d c to color","http://freetexthost.com/2m4dlw0eyr","http://freetexthost.com/dhp0khue3g","No"
"Combat","Entertainment","Markley Enterprises LLC","The Combat skill enables you to engage in conflict with a target of your choice using a weapon in the way that you want. You can say anything from something rather normal like ""hit the dragon with the sword"" to something amusing like ""tickle the pickle."" The Combat skill will respond in an entertaining and often amusing way.\n\nThis app may not be suitable for all ages.\n\nTo discuss this skill, contact @VoiceGameDev on Twitter.",3.8,5,"B01AKFXFYC","amzn1.echo-sdk-ams.app.adbaf36b-2ad0-445f-88f9-d1fe1c0e019b","2016-01-13 12:26:16","combat","Alexa, open combat and hit the dragon with my sword","Alexa, open combat and tickle the pickle","Alexa, open combat and smack the dwarf with a stick","http://www.joiney.com/privacy.html","http://www.joiney.com/terms.html","No"
"Comedy Dog","Entertainment","BrownDog Tech","Feeling a little down?  Haven't laughed all day?  Well, Comedy Dog comes to the rescue.  Armed with a large portfolio or hilarious jokes (mostly about dogs), just start up Comedy Dog and get ready to laugh.",1.7,4,"B01DQCN5HI","amzn1.echo-sdk-ams.app.c3b1bf7a-0cc9-42b4-87da-1523412aaadd","2016-04-07 06:04:30","comedy dog","Alexa, open Comedy Dog.","Alexa, ask Comedy Dog to tell me a joke.","Alexa, ask Comedy Dog to make me laugh.","","","No"
"CompliBot","Entertainment","DERP Group","You know how, sometimes, a nice word in the morning is all it takes to set your day on the right track?  Well, CompliBot has got your back!  It sees the best in you, and loves to share it!  \n\n*Disclaimer: CompliBot may make you want to hug your Echo, and we fully support that.  However, using CompliBot as a shoulder to cry on may result in voiding your warranty if tears get in its circuitry - and is therefore not advised.",4.4,12,"B01AVKM8NU","amzn1.echo-sdk-ams.app.cb3e2030-f6a7-43f3-83da-164cccd07896","2016-01-20 16:50:46","complibot","""Alexa, open CompliBot""","""Compliment Leia"" (after launching)","""Give me an insult"" (after launching)","","","No"
"Computer Quiz","Education","MLC Software","A quiz on the basics of computers. This skill asks a series of 5 questions each with 4 multiple choice possible answers. Respond with the number for the correct answer to score a point. Alexa will give you the answer if your answer is wrong.",0,0,"B01D8NYT7K","amzn1.echo-sdk-ams.app.3e75e876-109d-4e8e-8fd2-d715c707bc1b","2016-03-21 07:17:31","computer quiz","Alexa ask computer quiz","Two","Skip","http://www.communisat.com/alexa/compquiz/privacy.htm","http://www.communisat.com/alexa/compquiz/termsofuse.htm","No"
"Computer Science","Education","Zan Ozbot","Learn some exciting new things about computer science with this quiz skill. \nTry and answer questions such as:\n\n""Who is the creator of Linux?""\n""Where does a computer add and compare data?""\n\nPlay alone or together with your family. The more the merrier.",0,0,"B01CQU57JU","amzn1.echo-sdk-ams.app.7ef44934-d5d7-409d-a64c-fa6a4f1eac1c","2016-03-09 04:47:09","computer science","Alexa, launch computer science","Repeat","Help","","","No"
"Computer Trivia","Games","Rubix","The following skill will ask you a set of trivia questions related to the field of software development.  You will get a choice of four questions and you must choose the correct answer.  All questions are related to software development or computer history.",0,0,"B01F6W1C8U","amzn1.echo-sdk-ams.app.1aa0d024-9f5a-47fd-9279-633cf07763b2","2016-05-06 18:38:25","fizz buzz","Alexa launch fizz buzz","One","Two","","","No"
"Computers Storified in Viking History by Floki","Education","smprof","Vikings were innovators of technology.  Their impact on western culture is evident in locations like Normandy, Dublin, and discovery of North America before Christopher Columbus.  Illustrating current computer concepts with the story of the Vikings helps to make connections for playful retention of storification.  From Bluetooth to Thor's Day, explore the storytelling method of learning about computers.\n\nMake sure to enable this skill before trying to call it.  Alexa will match Loki as your word without this skill being enabled.  Once the skill is enabled you can say Loki or Floki to run it.\n\nContent of CIS150 course, Introduction to Computing, Grand Valley State University.",3,2,"B01DR4ZFPK","amzn1.echo-sdk-ams.app.6c0a7537-cf83-452d-9261-680138995511","2016-04-08 16:32:32","floki","Alexa, ask Floki to tell me something","Alexa, ask Floki for full saga","Alexa, ask Floki to tell me story 30","","","No"
"Conductor","Travel","Gotham Web Artisans","This service will give you information about NYC transit (so far only subway/LIRR/MetroNorth service status)\n'Alexa, ask conductor to get status for the 7 train'",3,1,"B01C9KTH5M","amzn1.echo-sdk-ams.app.5bf0893d-81e3-4477-9941-f5901359e740","2016-02-26 18:31:02","conductor","Alexa, ask conductor to get status for the 7 train","Alexa, ask conductor to get status for the port jefferson","Alexa, ask conductor for Babylon status","","","No"
"Connecticut Trivia","Games","Charlisa","How much do you know about Connecticut? This game ask trivia questions about Connecticut. The game is started by saying ""Alexa, open Connecticut Trivia"". Five multiple questions will be asked. Each question will have four options; numbered one through four. To answer the question state the number of the correct answer. At the end of the game, you will be told the number of correct answers given.",0,0,"B01EQDJZOI","amzn1.echo-sdk-ams.app.88806385-6338-419b-b3db-fb1b563416a5","2016-04-26 04:08:41","connecticut trivia","Alexa Open Connecticut Trivia","start new trivia","Help","","","No"
"Constitutional Law Game","Education","Robb Shecter","How well do you know the U.S. Constitution? Find out with this quiz game based on actual flashcards used to practice — successfully! — for a bar exam.\n\nGet started by asking Alexa to ""open constitutional law game"". Then see how many right you can get out of five constitutional law questions chosen from a list.",0,0,"B01DTZ5PSY","amzn1.echo-sdk-ams.app.005c980b-e514-4896-84a1-b8bf98a7d344","2016-04-28 01:38:33","constitutional law game","Alexa, start constitutional law game","is it three","the answer is two","","","No"
"Conversation Starter","Games","Ian Suttle","Conversation Starter is a great way to get suggested conversation topics for you and your friends. For example, asking Conversation Starter for a topic might suggest talking about your greatest fear, the best day of your life, or something you would change if given the chance.",4,6,"B019WZ4572","amzn1.echo-sdk-ams.app.82ece337-c1c5-400e-8a95-34b58c3d79b8","2015-12-28 15:50:52","conversation starter","Alexa, open Conversation Starter","Alexa, ask Conversation Starter for a topic","""next"" (can be stated after Alexa provides a conversation topic)","","","No"
"convrge","Social","Jay Wallace","Check to see who's online within Convrge. For more information regarding converge, please checkout: http://www.convrge.co/",0,0,"B01AYLDILW","amzn1.echo-sdk-ams.app.e0b16c48-459a-46ec-b85a-7cb31a760e75","2016-01-22 15:28:47","converge","Alexa, ask Convrge, who's online","Alexa, ask Convrge, if anyone's online","Alexa, ask Convrge, how many people are online","","","No"
"CookBook","Food/Cooking","MavenCode LLC","This skills allows the end user to ask about any recipe, we are currently curating our recipe database with over 50+ recipes. This skill will allow the user to ask about almost any information from our cookbook of recipe and be able to get a detailed info back\n\n- How to Cook\n\n- Steps to cook\n\n- Ingredients of the recipe\n\netc",1.4,8,"B01BZ7TO5S","amzn1.echo-sdk-ams.app.2c33e7d5-71b6-4d5c-9fc4-c936b1e75e1c","2016-02-19 14:39:53","cook book","Alexa, ask cook book how to make a burger","Alexa, ask cook book about recipe for a salad","Alexa, ask cook book how to cook a pasta","","","No"
"Corgi Quiz","Entertainment","Modern Major General","This is a short, quiz about corgis. If you have a corgi, you may enjoy this quiz. If you don't have a corgi, you too may enjoy this quiz! It is a quiz about corgis. Did you know that it is practically impossible to keep a straight face while saying 'corgi quiz' three times fast. You should try it.",0,0,"B01E54UK88","amzn1.echo-sdk-ams.app.af3fa906-7ada-49bc-83ad-d232c8c347e6","2016-04-20 15:32:40","corgi quiz","Alexa Corgi Quiz","Alexa Open Corgi Quiz","Alexa Do Corgi Quiz","","","No"
"Costa Rica News","News","andresmeza.com","Costa Rica news will get you the latest news from Costa Rica in english, all the information comes from local trusted sources like newspapers such as: the tico times and the Star of Costa Rica, among others. You'll get the news as soon as they're published, all you have to do is enable the skill and say open ""Costa Rica News"". These feeds are already free. More sources coming...",0,0,"B01E8P5QUQ","amzn1.echo-sdk-ams.app.2b198ff5-0024-40b7-9d43-3cd494a11a2e","2016-04-22 11:08:28","costa rica news","Alexa open Costa Rica News","Alexa ask Costa Rica News","Alexa tell Costa Rica News","","","No"
"CouchPotato","Lifestyle","ncave","Some days it's better to just stay in; ask Couch Potato if today is one of those days.  You'll feel better if someone else tells you it's ok, right?",3.5,2,"B01DVOX6MU","amzn1.echo-sdk-ams.app.8440896f-36e9-4be0-83ff-bacb7317aeec","2016-04-13 04:32:38","couch potato","Alexa, ask Couch Potato if I should go outside in Hollywood?","Alexa, ask Couch Potato if I should leave the house in Seattle today?","Alexa, ask Couch Potato if I should go out in New York?","","","No"
"Covisint Trivia","Games","Covisint","Think you know a lot about Covisint?  Are you a new-be or an old timer?  Test your knowledge of fun facts about the company.  \n\nCome back often, more questions are being added all the time.\n\nSend suggested trivia questions to James Foster.",3,2,"B01AOEPC0O","amzn1.echo-sdk-ams.app.d7da65c8-f02e-47a8-82c0-984aa54e7c25","2016-01-15 15:40:42","cove trivia","Alexa, launch Cove Trivia","repeat","help","http://www.covisint.com/enable/privacy","http://www.covisint.com/enable/privacy","No"
"Cow Says Moo","Education","Autopilot Consulting, LLC","Says Moo will repeat the onomatopoeia to your kids' delight.  In the future, we'll add more animals and even make a quiz out of it to teach your kids animal sounds.",0,0,"B01ECXTBPK","amzn1.echo-sdk-ams.app.51bdd9c6-bed2-48de-95c0-dd2f62514d78","2016-04-28 07:38:31","cow says moo","Alexa ask Cow Says Moo what does the cow say","Alexa start Cow Says Moo","Alexa ask Cow Says Moo what the dog says","","","No"
"Craft Helper","Games","Mike Solomon","Can't remember exactly how to craft an enchantment table or a dropper in Minecraft? Craft helper can give you the recipe fast, and all you need is your voice.\n\nNote:Craft helper is not affiliated with Mojang AB or Minecraft.",3.3,4,"B017OBTQAC","amzn1.echo-sdk-ams.app.d5a11b36-4840-442a-8a2c-dfca7de9edf6","2015-11-06 14:17:02","craft helper","Alexa, ask Craft Helper what's the recipe for a saddle.","Alexa, ask Craft Helper how to make paper.","Alexa, ask Craft Helper for help.","","","No"
"Creative Strategies","Productivity","Prolixity","This skill retrieves a phrase or cryptic remark which can be used as a catalyst to generate ideas,  to solve a creative block, or to approach an issue from another angle.\n\nThis app is based on the ideas of Brian Eno and Peter Schmidt, and can be used in any capacity as a way to enable lateral thinking.",0,0,"B01EP953VM","amzn1.echo-sdk-ams.app.087ca523-0737-4ada-a083-89bb8b592cd0","2016-05-03 17:08:28","creative strategies","Alexa, ask creative strategies for an idea","Alexa, ask creative strategies to get a strategy","Alexa, ask creative strategies to give me a creative suggestion","https://github.com/nwokeo/creative_strategies_alexa/wiki/Privacy-Policy","https://github.com/nwokeo/creative_strategies_alexa/wiki/Terms-of-Service","No"
"Cricket Fact Skill","Education","Ganaraja","Alexa, ask Cricket Geek for a cricket fact\n\nAlexa will enlighten with you \nHere's your cricket fact: Peter Siddle is the only bowler to take a hat-trick on his birthday",5,1,"B01DRWRFLO","amzn1.echo-sdk-ams.app.0fcbd76f-8054-491f-b56d-276a6e72c30e","2016-04-05 05:32:30","cricket geek","Alexa Open Cricket Geek","Alexa, Launch Cricket Geek and tell me a fact","Alexa, Start Cricket Geek and tell me a fact","","","No"
"Cricket Quiz","Sports","Jovial","If you love the game of cricket and you enjoy trivia, let me make that easy for you.\n\nThink you can answer?\n""In which county is Lords?""\n""Which cricketer has scored the most runs at the World Cup?""",0,0,"B01BFV8EIM","amzn1.echo-sdk-ams.app.2f84d974-a15b-4b6c-8697-d47a6a27165d","2016-02-03 15:54:24","cricket quiz","Alexa, launch cricket quiz","Repeat","Help","","","No"
"Cricket Quiz","Sports","Shankar Rao","Cricket is one of the most popular sport in the world, with an estimated viewership of 1 billion people. How well do you know your cricket? Take this collection of questions from cricket around the world and find out.",0,0,"B01D0ISSL6","amzn1.echo-sdk-ams.app.cc515099-8698-4a99-8411-2e7fefb2c302","2016-03-15 14:24:01","cricket quiz","Alexa, start Cricket Quiz","The answer is 3","Skip","","","No"
"Cricket Quiz","Games","apjneeraj","Cricket Quiz!!\nGive a shout to Alexa and say ""Alexa, ask cricket quiz"".\nWhich famous ground hosted the historic tied test between India and Australia in 1986?\n             1. MA Chidambaram Stadium (Chepauk), Chennai""\n             2. M Chinnaswamy Stadium, Bangalore\n             3. Eden Gardens, Kolkata\n             4. Feroz Shah Kotla Grounds, Delhi\nSay the number of answer you think is correct.",4.5,2,"B01D4EF2VU","amzn1.echo-sdk-ams.app.752b92c6-eeeb-49de-b6b6-a6e21979f53d","2016-03-18 01:30:28","cricket quiz","Alexa, ask Cricket Quiz","Repeat","","","","No"
"Cricket Quizzer","Games","Ganaraja","Test your Cricket knowledge!!\nWho among the following introduced the world to One-Day Internationals?\n1. Kerry Packer\n2. Len Hutton\n3. Frank Worrell\n4. Thomas Hughes\n\nAns: 1",0,0,"B01DM6BDCC","amzn1.echo-sdk-ams.app.94b7f79f-8776-4329-88a1-9ad871ae3f1a","2016-04-07 06:33:26","cricket quizzer","Alexa, launch cricket quizzer","Repeat","Help","","","No"
"Crocodile Finder","Entertainment","Mars Puppy","Disclaimer: this skill is a prank skill for entertainment purposes only and does not provide the ability to find crocodiles.\n\nIf you suffer from Crocodyliphobia, you want to know where the crocodiles are, so you can be somewhere else. Ask Alexa where they are! For your entertainment, Alexa will respond with a random location nearby where she believes the crocodiles are hiding. \n\nNote: If you have a real crocodile infestation, this skill will not help you avoid real live actual crocodiles.",1,1,"B01CZWI6OM","amzn1.echo-sdk-ams.app.d1ce1330-22a2-45b8-920a-ff197b552f10","2016-03-15 05:29:58","crocodile finder","Alexa, ask Crocodile Finder to find the crocodiles","Alexa, ask Crocodile Finder to locate the crocodiles","Alexa, ask Crocodile Finder where are the crocodiles","","","No"
"CryptoCurrency","Utilities","DynaSolve","Are you tracking the volatile price of Bitcoin? Do you sometimes want to know what the price is but you don't have a browser or tracker app handy? What could be more convenient than asking Alexa the current price of bitcoin when the thought strikes you?\n\nThere is nothing to setup or prepare. All you have to do is ask ""What is the price of Bitcoin"". The app polls multiple exchanges and always has an up to date and ready answer for the current exchange rate between US dollars and Bitcoin.\n\nIt will also tell you how much the price has changed over the last 24 hours so you can keep track of which way Bitcoin is moving!",4.3,5,"B01BPSQ860","amzn1.echo-sdk-ams.app.81d581f1-cf3f-43e6-97b3-e8e47ce7cec8","2016-02-12 18:53:19","my crypto","Alexa, ask my crypto what is the price of bitcoin?","Alexa, ask my crypto for the current price of bitcoin?","Alexa, ask my crypto for the price of bitcoin","http://www.dynasolve.com/cryptonow/privacy","http://www.dynasolve.com/cryptonow/termsofuse","No"
"Crystal Ball","Games","LME Skills","Crystal Ball is a fortune teller skill. Alexa prompts you to first focus on a yes/no question, and then say when you're ready to hear the answer.",2.2,7,"B017OBKT2Q","amzn1.echo-sdk-ams.app.713be741-ed23-4bd0-8090-4b5931b9f05f","2015-11-06 14:10:11","crystal ball","Alexa, launch Crystal Ball.","Alexa, ask Crystal Ball for the answer.","Alexa, ask Crystal Ball if I will win the lottery.","","","No"
"CTA Tracker","Travel","Jack Carter Industries","Save your home 'L' station and Alexa will help you leave home in time to catch the train. Open the skill and tell Alexa your station, including the line (blue, orange, green...). Then ask, ""When's the next northbound train?"" Alexa will even remember your preferred direction for next time, northbound or southbound.",4.8,9,"B01DDIK52I","amzn1.echo-sdk-ams.app.d9c48e07-6b2f-4337-af5b-529847cf1dc6","2016-03-24 04:43:16","c. t. a. tracker","Alexa, ask CTA Tracker when is the next northbound train","Alexa, ask CTA Tracker when is the next train","Alexa, tell CTA Tracker that i live at belmont station on the blue line","","","No"
"CueFit","Health-and-Fitness","kix","CueFit allows you to easily access your Google Fit data via Alexa. Simply ask CueFit for your step count or calories burned to get started! Using this skill requires a Google account -- you'll enjoy using it more if you've been logging your fitness data into Google Fit.",0,0,"B01DL0N8X6","amzn1.echo-sdk-ams.app.72c46dfe-c398-418a-95f9-7ed4d0b8633b","2016-03-29 12:49:50","cue fit","Alexa, ask cue fit for my daily summary","Alexa, ask cue fit for my step count","Alexa, ask cue fit how many calories I've burned today","https://proness.kix.in/alexa/cuefit/privacy.html","","No"
"Currency Converter","Productivity","Rain Labs","Ask Alexa to convert money from your country to other country. She will look for the current exchange rate and tell you what is the amount of the money that your currency represents in other countries. You can ask her too about conversion from other currencies or exchange rate from several currencies all around the world.",2.4,6,"B01AWXQTMW","amzn1.echo-sdk-ams.app.8ccf181d-4b2a-445d-8a86-beb9e3157296","2016-01-21 12:12:33","currency converter","Alexa, ask Currency Converter to convert twenty dollars to euros","Alexa, tell Currency Converter to give me a rate","Alexa, ask Currency Converter to exchange currency between reals and bolivars","","","No"
"Currency Monitor","Finance","Ganesh","This skill tells today's currency conversion rate of Dollar to Indian Rupee. \n\nIn future, this skill also shows rates provided by various remittance service providers, and provides comparison of those. In our next version, we will providing the support for averages and monitoring/reminders based on user set thresholds. Hope you like this simple skill on Alexa and I am looking forward for your input on how this can be made better for your use.",0,0,"B01DRLPHQK","amzn1.echo-sdk-ams.app.281626aa-aa66-45c7-96e2-f6694d66ede3","2016-04-28 05:38:35","currency monitor","Alexa ask currency monitor for dollar rate","Alexa ask currency monitor how is dollar doing today","Alexa ask currency monitor for dollar conversion rate","","","No"
"CurrencyGuy","Finance","xinen8721","Currency Guy can get you the exchange rate between two specified currencies based on today's date.By saying"" What is the rate of US Dollar to Chinese Yuan"", there would be a voice response returned with something like ""Based on 4/1/2016, 1 USD = 6.45 CNY"" and meanwhile a card would be generated in Alexa app in case you want to see the returned result visually.\nPS: Currently not all currencies are listed, more work to be done in the future, hope you like it!!!",2,1,"B01DO8TXSO","amzn1.echo-sdk-ams.app.2204f700-c5a6-4a8d-9781-492c60e907a9","2016-04-06 09:33:00","currency guy","Alexa, ask Currency Guy what is the rate of USD to CNY","Alexa, ask Currency Guy to find me the rate of Australian Dollar to USD","Alexa, ask Currency Guy to tell me the rate of Euro to Japanese Yen","","","No"
"D.C. Tech Cal","Social","Troy Crosby","Read the latest Washington DC tech news and events from www.dctechcal.com.\nSay: ""Alexa ask D.C. Tech for news"" or ""Alexa, ask D.C. Tech for events""\n#dctech",0,0,"B01C9LRW76","amzn1.echo-sdk-ams.app.9920a638-5e86-4ee4-9802-cbe14d60d969","2016-02-26 19:04:29","d. c. tech","Alexa ask D.C. Tech for news","Alexa ask D.C. Tech for events","","","","No"
